NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",318546,314051,361993,351667,373560,366615,362203,375795,346214,348796,356928,417991,4294359
,Retail sales and food services excl motor vehicle and parts,252809,246599,279239,275487,292043,286016,281314,292798,273214,278431,289416,346996,3394362
,"Retail sales, total",286152,282417,326153,316526,337393,330844,325905,339155,310775,312976,323089,380188,3871573
,"Retail sales, total (excl. motor vehicle and parts dealers)",220415,214965,243399,240346,255876,250245,245016,256158,237775,242611,255577,309193,2971576
,GAFO(1),78420,79008,86862,85932,89166,88412,86913,92998,87134,88479,102281,144550,1110155
442,Furniture and home furnishings stores,8595,8457,9412,8556,9209,9447,9244,9940,9511,9178,10195,11051,112795
4451,Grocery stores,37489,35506,38827,38269,40341,39569,40357,40340,38766,39322,39989,42924,471699
44611,Pharmacies and drug stores,15257,14681,16174,15225,16271,15720,15426,16092,15483,16382,16252,18055,191018
4481,Clothing stores,9489,9824,12148,12495,12204,12178,12107,12948,12435,12964,14375,21379,154546
45291,Warehouse clubs and supercenters,21710,21697,23380,24005,24820,24528,24545,24737,23513,24515,26605,33901,297956
