NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",412125,416603,413848,412655,414182,415777,418222,417503,417565,419693,421033,423005,
,Retail sales and food services excl motor vehicle and parts,334546,338138,335963,334343,334768,334664,336731,336396,337828,338652,339199,341807,
,"Retail sales, total",367229,371742,368806,367944,369297,371097,373235,372370,372188,373677,374102,376786,
,"Retail sales, total (excl. motor vehicle and parts dealers)",289650,293277,290921,289632,289883,289984,291744,291263,292451,292636,292268,295588,
,GAFO(1),100960,101081,100696,100762,100698,101090,101388,100915,101322,102154,101488,100998,
442,Furniture and home furnishings stores,7824,7501,7854,7895,8062,8084,8115,8156,8214,8244,8358,8312,
4451,Grocery stores,35669,35570,35549,35638,35225,35676,35957,35890,35918,35763,35679,35808,
44611,Pharmacies and drug stores,19456,19261,19278,19226,19323,19380,19588,19680,20018,20057,20117,20141,
4481,Clothing stores,10476,10106,10436,10397,10592,10726,10904,10820,10919,10821,10988,11113,
45291,Warehouse clubs and supercenters,16961,17339,17544,17502,17524,17786,18054,18645,18485,18524,18883,19013,
