NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",342687,343938,372919,368908,397955,378466,383674,382828,350543,349863,335542,384257,4391580
,Retail sales and food services excl motor vehicle and parts,276869,274908,296294,295149,321778,309029,314001,313154,290050,294848,287702,331933,3605715
,"Retail sales, total",307624,308216,334428,330990,357276,339750,344106,342409,313309,311438,299235,346534,3935315
,"Retail sales, total (excl. motor vehicle and parts dealers)",241806,239186,257803,257231,281099,270313,274433,272735,252816,256423,251395,294210,3149450
,GAFO(1),82945,85540,91764,87461,97593,92344,92493,98337,84962,88650,101011,133276,1136376
4421,Furniture stores,4597,4658,4702,4405,4715,4262,4424,4631,4100,3982,4095,4137,52708
4451,Grocery stores,41864,39915,42590,40966,44549,42299,44057,44010,41378,42811,42751,44032,511222
44611,Pharmacies and drug stores,17449,17201,17719,17143,17871,17038,17413,17200,17176,18019,16975,19653,210857
4481,Clothing stores,10478,11093,13223,12671,13805,12577,12814,13752,11891,12579,14156,18663,157702
45291,Warehouse clubs and supercenters,25762,26608,28604,27093,30816,29662,29443,30242,26792,28431,31057,36716,351226
