NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",375578,373974,421728,408519,437104,414828,422448,435053,396255,415761,423573,476942,5001763
,Retail sales and food services excl motor vehicle and parts,306295,300966,338102,327027,350392,332241,336415,346369,320750,336964,348196,398752,4042469
,"Retail sales, total",333780,332478,374164,362959,389616,369388,376966,388160,352602,369699,378285,430353,4458450
,"Retail sales, total (excl. motor vehicle and parts dealers)",264497,259470,290538,281467,302904,286801,290933,299476,277097,290902,302908,352163,3499156
,GAFO(1),86288,89273,100591,92379,100553,96737,96511,104741,92860,97966,112397,142197,1212493
442,Furniture and home furnishings stores,7296,7088,7873,7312,7831,7556,7979,8463,7851,8060,8843,9197,95349
4451,Grocery stores,47076,43830,48862,45308,49542,47759,48781,49287,46503,48291,48917,50391,574547
44611,Pharmacies and drug stores,19826,18221,19625,19168,19806,18547,19470,19562,19217,20478,19554,22074,235548
4481,Clothing stores,11295,12238,15365,14096,15149,14126,14310,15643,13470,14813,16783,21705,178993
45291,Warehouse clubs and superstores,31019,31871,35592,32627,35412,34790,34331,35973,32533,34307,37852,43058,419365
