NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",314572,310958,360737,356370,365626,358595,361949,362605,345999,355165,365773,426619,4284968
,Retail sales and food services excl motor vehicle and parts,264745,259125,293220,291944,300339,293888,294922,296547,284349,293816,306995,362165,3542055
,"Retail sales, total",279059,275599,321363,316977,324841,319174,320925,322297,307638,315015,328326,386834,3818048
,"Retail sales, total (excl. motor vehicle and parts dealers)",229232,223766,253846,252551,259554,254467,253898,256239,245988,253666,269548,322380,3075135
,GAFO(1),79914,81419,89805,86904,91304,88174,89423,93184,85679,89242,102647,136679,1114374
442,Furniture and home furnishings stores,6324,6468,7271,6729,6932,6902,7243,7330,7101,6793,7630,8482,85205
4451,Grocery stores,42985,40061,43434,42236,44607,42877,44559,43431,42642,43536,43724,46658,520750
44611,Pharmacies and drug stores,17874,17171,19214,18340,18295,18372,18170,18328,18124,18611,18724,21007,222230
4481,Clothing stores,9902,10568,13125,12899,13123,12164,12678,13165,12321,13169,15104,20058,158276
45291,Warehouse clubs and supercenters,28171,28258,29852,29350,31271,29834,30555,30574,28166,30371,32462,39129,367993
