NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",375280,371734,372656,373086,375851,376378,374837,372112,366377,352768,339776,332307,
,Retail sales and food services excl motor vehicle and parts ,301487,299459,300860,303024,306657,309267,310569,307075,303882,296169,284815,278108,
,"Retail sales, total",337537,334524,335104,335357,337762,338234,336570,333836,328031,314648,301638,294241,
,"Retail sales, total (excl. motor vehicle and parts dealers)",263744,262249,263308,265295,268568,271123,272302,268799,265536,258049,246677,240042,
,GAFO(1),95818,94958,95202,95869,97248,97384,97046,96002,93281,92303,92530,91001,
442,Furniture and home furnishings stores,8873,8603,8641,8605,8579,8482,8368,8147,7722,7743,7632,7460,
4451,Grocery stores,42117,42016,42168,42584,42549,42683,42899,43063,42834,42768,42496,42136,
44611,Pharmacies and drug stores,17208,17357,17338,17195,17538,17511,17589,17695,17653,17683,17756,17721,
4481,Clothing stores,13501,13373,13235,13449,13539,13587,13507,13453,12855,12592,12713,12532,
45291,Warehouse clubs and supercenters,28217,28337,28633,28915,29574,29841,29891,29707,29539,29401,29438,29326,
