NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",418800,424117,429720,433675,434334,435094,435688,439554,438687,440396,442106,439323,
,Retail sales and food services excl motor vehicle and parts,340009,343365,345706,348411,348817,349601,349913,352721,352660,353978,354627,352036,
,"Retail sales, total",373079,377749,382663,386533,386798,387342,387623,391162,389808,390708,392405,388894,
,"Retail sales, total (excl. motor vehicle and parts dealers)",294288,296997,298649,301269,301281,301849,301848,304329,303781,304290,304926,301607,
,GAFO(1),100157,101712,102224,103375,102792,102812,103332,104185,103810,104224,105047,104563,
442,Furniture and home furnishings stores,7770,8039,8195,8279,8302,8313,8303,8440,8379,8432,8507,8639,
4451,Grocery stores,49067,49099,49182,49469,49595,49959,50121,50342,50545,50740,50742,50946,
44611,Pharmacies and drug stores,20229,20254,20305,20580,20799,21009,21079,21117,21100,21209,21275,21508,
4481,Clothing stores,14799,14766,15004,15402,15105,15125,15239,15331,15218,15405,15813,15651,
45291,Warehouse clubs and superstores,35288,35494,35695,35925,36067,36133,36195,36558,36437,36511,36635,36525,
