NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",357360,354735,355826,357601,356524,357754,359087,360514,358702,358398,359208,364270,
,Retail sales and food services excl motor vehicle and parts ,280527,280627,281234,282777,282432,282391,283112,285468,284039,282946,283224,288759,
,"Retail sales, total",322377,320238,320996,322739,321647,323025,324319,325147,323013,322614,323362,327208,
,"Retail sales, total (excl. motor vehicle and parts dealers)",245544,246130,246404,247915,247555,247662,248344,250101,248350,247162,247378,251697,
,GAFO(1),92157,91750,91505,92300,91544,92083,91969,92017,93781,93323,93145,94988,
442,Furniture and home furnishings stores,9571,9439,9440,9392,9359,9494,9433,9422,9530,9384,9319,9326,
4451,Grocery stores,38254,38847,38866,38852,39242,39372,39373,39666,39396,39961,39989,40153,
44611,Pharmacies and drug stores,15257,15405,15522,15647,15736,15911,15985,16124,16162,16415,16550,16671,
4481,Clothing stores,12526,12437,12559,12775,12586,12817,12921,12779,13179,13215,12946,13541,
45291,Warehouse clubs and supercenters,23989,24215,24103,24747,24477,24553,24668,24936,25256,25430,25484,25998,
